SerNum;Name;Cmp;Wiki;Status;Liftoff Thrust;Payload to LEO;Stages;Strap-ons;Rocket Height;Price;Payload to GTO;Fairing Diameter;Fairing Height
0;Tsyklon-3;Yuzhmash;https://en.wikipedia.org/wiki/Tsyklon-3;Retired;3,032;4.1;3;0;39.0 m;;0.0;;
1;Tsyklon-4M;Yuzhnoye;https://en.wikipedia.org/wiki/Cyclone-4M;Planned;3,130;5.0;2;0;38.7 m;$45.0 million;0.91;4.0 m;
2;Unha-2;KCST;https://en.wikipedia.org/wiki/Unha;Retired;1,192;0.2;3;0;28.0 m;;0.0;;
3;Unha-3;KCST;https://en.wikipedia.org/wiki/Unha;Active;1,192;0.2;3;0;32.0 m;;0.0;1.3 m;
4;Vanguard;US Navy;https://en.wikipedia.org/wiki/Vanguard_(rocket);Retired;135;0.01;3;0;23.0 m;;0.0;;
5;Vector-H;Vector;https://en.wikipedia.org/wiki/Vector-H;Planned;175;0.15;2;0;18.3 m;$3.0 million;0.0;0.6 m;0.8 m
6;Vector-R;Vector;https://en.wikipedia.org/wiki/Vector-R;Planned;81;0.065;2;0;13.0 m;$2.0 million;0.0;0.6 m;0.8 m
7;Vega;ESA;https://en.wikipedia.org/wiki/Vega_(rocket);Active;2,200;1.436;4;0;29.9 m;$37.0 million;0.0;2.6 m;7.88 m
8;Vega C;ESA;https://en.wikipedia.org/wiki/Vega_(rocket);Planned;4,500;2.2;4;0;35.0 m;;0.0;;
9;Vega E;ESA;https://en.wikipedia.org/wiki/Vega_(rocket);Planned;;0.0;4;0;35.0 m;;0.0;;
10;VLS-1;AEB;https://en.wikipedia.org/wiki/VLS-1;Active;623;0.38;3;4;19.0 m;;0.0;1.0 m;
11;Volna;Makeyev;https://en.wikipedia.org/wiki/Volna;Retired;;0.1;3;0;15.0 m;;0.0;;
12;Voskhod;OKB-1;https://en.wikipedia.org/wiki/Voskhod_(rocket);Retired;;5.9;2;4;31.0 m;;0.0;3.0 m;
13;Vostok;OKB-1;https://en.wikipedia.org/wiki/Vostok-K;Retired;3,894;4.73;2;4;31.0 m;;0.0;;
14;Vostok-2;OKB-1;https://en.wikipedia.org/wiki/Vostok-2_(rocket);Retired;995;4.73;2;4;;;0.0;;
15;Vostok-2A;OKB-1;https://en.wikipedia.org/wiki/Vostok_(rocket_family);Retired;;4.5;3;4;;;0.0;;
16;Vostok-2M;OKB-1;https://en.wikipedia.org/wiki/Vostok-2M;Retired;;0.0;3;4;;;0.0;;
17;Vulcan Centaur;ULA;https://en.wikipedia.org/wiki/Vulcan_%28rocket%29;Planned;;17.8;2;;58.3 m;;15.3;5.4 m;
18;Zenit-2;Yuzhmash;https://en.wikipedia.org/wiki/Zenit-2;Retired;8,181;1.2;2;0;57.0 m;;5.0;4.1 m;13.7 m
